Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Key
84,48,25253,14225,3441,4172,1881,9630,6863,5745,4
78,60,4946,5021,8879,13002,879,6367,4314,3150,0
61,87,57763,12541,6173,5120,3238,10192,9048,6663,0
37,84,21560,74162,11297,9217,4844,1945,2644,1678,0
48,63,2540,1384,692,467,1313,2271,2560,445,0
56,48,3622,5051,3037,1270,8368,12164,7412,4003,0
51,53,48239,10965,5537,6266,2181,4752,5345,2222,0
77,44,53758,17563,965,4051,3750,10528,8904,3930,0
67,47,277597,21746,1657,8398,3804,10485,4459,2230,1
54,63,7216,7222,9248,4495,4986,5293,1906,1921,1
66,48,3799,7718,1745,1698,2233,8488,2545,1782,1
75,56,5198,4952,1743,2993,2065,10592,2328,2803,1
77,63,3202,6730,1402,6501,2621,6415,3970,2285,1
87,53,6206,2297,1531,2575,4103,6010,4712,4770,1
74,67,6430,12497,6487,5363,2070,3812,1832,1715,1
63,66,10045,9860,1363,3325,5269,4629,4447,1457,1
61,63,4354,4183,1540,2865,5103,3276,6582,4512,1
66,60,1129,2736,2767,2584,2410,14329,4277,2455,1
74,44,3777,13063,787,2988,4732,6561,1550,3139,1
88,34,2904,1535,214,468,818,4367,818,744,1
66,35,564450,5798,2449,12598,1758,3085,554,391,3
51,43,210108,17028,10368,9244,4961,10241,2399,4043,3
54,44,5686,4615,835,1084,2198,3270,2052,2340,3
67,67,16295,4750,7432,3824,2613,4838,2971,1515,3
75,69,4256,2379,621,6657,989,7087,2770,1597,3
80,77,5068,5161,2236,2431,1231,8507,2440,2044,3
80,78,2568,2648,1794,2765,3285,6512,3484,3495,3
80,78,1404,5163,7553,3703,2431,4283,2671,1912,3
78,69,2270,4743,1645,2265,1202,5649,5050,2027,3
75,83,638,1789,10355,6683,1748,12887,6213,4136,3
77,81,3666,2917,2904,3126,8268,8105,2572,3428,3
77,81,1003129,26894,20311,14153,5626,13547,1127,936,0
87,69,50046,9325,5291,5852,4964,16714,3124,5474,2
88,75,2570,1985,2242,1645,1045,4035,4334,1426,2
84,75,2892,2928,4022,5369,2002,5678,2614,2886,2
87,80,1982,241,331,577,347,1311,618,1241,2
