Timestamp,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Key
54127,84,48,25253,14225,3441,4172,1881,9630,6863,5745,4
55056,78,60,4946,5021,8879,13002,879,6367,4314,3150,0
56038,66,75,102896,14838,12817,8565,2890,14525,9144,23072,0
57043,61,87,57763,12541,6173,5120,3238,10192,9048,6663,0
58203,37,84,21560,74162,11297,9217,4844,1945,2644,1678,0
59952,48,63,2540,1384,692,467,1313,2271,2560,445,0
60475,56,48,3622,5051,3037,1270,8368,12164,7412,4003,0
61562,51,53,48239,10965,5537,6266,2181,4752,5345,2222,0
62073,77,44,53758,17563,965,4051,3750,10528,8904,3930,0
63114,77,44,1284256,316379,87065,44605,12994,13046,16701,5478,0
64012,77,44,2713787,64145,9239,39990,6864,27507,8148,1871,0
65001,67,47,277597,21746,1657,8398,3804,10485,4459,2230,1
66047,54,63,7216,7222,9248,4495,4986,5293,1906,1921,1
67017,66,48,3799,7718,1745,1698,2233,8488,2545,1782,1
67994,75,56,5198,4952,1743,2993,2065,10592,2328,2803,1
69628,77,63,3202,6730,1402,6501,2621,6415,3970,2285,1
69972,87,53,6206,2297,1531,2575,4103,6010,4712,4770,1
71121,74,67,6430,12497,6487,5363,2070,3812,1832,1715,1
72090,63,66,10045,9860,1363,3325,5269,4629,4447,1457,1
73019,61,63,4354,4183,1540,2865,5103,3276,6582,4512,1
74052,66,60,1129,2736,2767,2584,2410,14329,4277,2455,1
74997,74,44,3777,13063,787,2988,4732,6561,1550,3139,1
76015,88,34,2904,1535,214,468,818,4367,818,744,1
77016,66,35,669489,559755,120068,114826,42514,22185,8924,3421,1
78094,66,35,564450,5798,2449,12598,1758,3085,554,391,3
78950,51,43,210108,17028,10368,9244,4961,10241,2399,4043,3
79907,54,44,5686,4615,835,1084,2198,3270,2052,2340,3
81934,67,67,16295,4750,7432,3824,2613,4838,2971,1515,3
83008,75,69,4256,2379,621,6657,989,7087,2770,1597,3
83912,80,77,5068,5161,2236,2431,1231,8507,2440,2044,3
84943,80,78,2568,2648,1794,2765,3285,6512,3484,3495,3
85901,80,78,1404,5163,7553,3703,2431,4283,2671,1912,3
86923,78,69,2270,4743,1645,2265,1202,5649,5050,2027,3
87901,75,83,638,1789,10355,6683,1748,12887,6213,4136,3
